bid,微博正文,相关,正面,负面,label1,label0,cut_text
LqwQF7nUH,市政投资集团开展疫情防控及安全生产专项检查　　为全力做好疫情防控及安全生产工作，4月26日下午，市政公用集团总经理助理，市政投资集团党总支书记、董事长邹建伟，副总经理甘霖带领工作小组深入开展疫情防控及安全生产专项检查行动。　　首先，工作小组一行对投资集团所有消防设施、安全疏散通道、办公场所的用电设施及食堂断水断电断气情况等进行了全面检查，其后对投资集团疫情防控工作台账及防疫物资的储备情况进行了专项检查。　　检查结束后，邹建伟针对当前疫情防控及安全生产工作提出三点要求：        一要严格落实疫情防控各项要求。落实落细省、市、区及集团关于疫情防控的文件精神和各项举措，在做好疫情防控的同时要统筹抓好安全生产工作。       二要强化落实安全生产各项工作。持续开展隐患排查活动，严格落实集团“三个一”安全检查长效机制；加强安全生产教育培训，提高全员的安全意识和应急处置能力，确保投资集团安全生产形势持续向好。       三要全面落实全域动态清零各项任务。落实全员“应检尽检”的核酸检测频次及单位场所预防性消杀专项行动。对进出办公场所的人员进行“五查一戴”的标准化管理，确保办公场所及工作人员防控措施落实到位。,1,0,0,1,1,市政 投资 集团 疫情 防控 生产 专项 检查 　 　 做好 疫情 防控 生产 工作 4 月 26 日 下午 市政 公用 集团 总经理 助理 市政 投资 集团 党总支 书记 董事长 邹建伟 副总经理 甘霖 带领 工作 小组 深入开展 疫情 防控 生产 专项 检查 　 　 工作 小组 一行 投资 集团 消防设施 疏散 通道 办公 场所 用电 设施 食堂 断水 断电 断气 情况 检查 投资 集团 疫情 防控 工作 台账 防疫 物资 储备 情况 专项 检查 　 　 检查 结束 邹建伟 疫情 防控 生产 工作 提出 三点                 落实 疫情 防控 各项 落实 落细省 市 区及 集团 疫情 防控 文件精神 各项 举措 做好 疫情 防控 统筹 抓好 生产 工作               二要 强化 落实 生产 各项 工作 持续 隐患 排查 活动 落实 集团 三个 安全检查 长效机制 生产 教育 培训 提高 全员 安全意识 应急 处置 能力 确保 投资 集团 生产 形势 持续               三要 全面落实 全域 动态 清零 各项任务 落实 全员 应检尽检 核酸 检测 频次 单位 场所 预防性 消杀 专项 进出 办公 场所 人员 五查 一戴 标准化 管理 确保 办公 场所 工作人员 防控 措施 落实 到位
LrN8GBSy0,#在深圳没有72小时核酸将寸步难行#都清零快一个月了，这样做核酸，真的是不用花钱的吗？ ,1,0,1,0,1,深圳 72 小时 核酸 寸步难行 清零 一个月 做 核酸 真的 不用 花钱  
Llcb4vlTh,【连续两日，兰州新区无新增病例】根据甘肃省卫健委网站连续两日发布的甘肃省新冠肺炎疫情信息，3月22日0时至23日24时，甘肃省新增确诊病例10例，其中，兰州市9例、陇南市康县1例。新增治愈出院15例，其中，兰州市10例、兰州新区4例，白银市景泰县1例。新增无症状感染者62例，其中，兰州市35例、天水市秦州区20例、白银市白银区5例、临夏州广河县2例。新增解除无症状感染者集中隔离医学观察11例，其中，兰州新区2例、兰州市6例、白银市景泰县2例、临夏州康乐县1例。3月5日，兰州新区在重点人群筛查中发现1例新冠病毒核酸检测初筛阳性人员，随即启动疫情防控应急处置机制，快速精准落实“流调溯源—检疫管控—核酸检测—隔离诊疗”全链条防控措施，建立起省市新区联动机制。3月12日10时完成前四轮核酸检测，社会面第一次实现清零。截至3月23日24时，已经连续11天实现社会面清零。在疫情总体可防可控情况下，兰州新区坚持“外防输入、内防反弹”总策略和“动态清零”总方针不动摇，3月下旬，全面加快企业生产、居民生活及商业恢复等各项工作，努力将疫情影响降到最低。网页链接,1,1,0,2,1,连续 两日 兰州 新区 新增 病例 甘肃省 卫健委 网站 连续 两日 发布 甘肃省 新冠 肺炎 疫情 信息 3 月 22 日 0 时至 23 日 24 时 甘肃省 新增 确诊 病例 10 例 兰州市 9 例 陇南 市 康县 1 例 新增 治愈 出院 15 例 兰州市 10 例 兰州 新区 4 例 白银市 景泰县 1 例 新增 无症状 感染者 62 例 兰州市 35 例 天水市 秦州 区 20 例 白银市 白银区 5 例 临夏州 广河县 2 例 新增 解除 无症状 感染者 隔离 医学观察 11 例 兰州 新区 2 例 兰州市 6 例 白银市 景泰县 2 例 临夏州 康乐县 1 例 3 月 5 日 兰州 新区 重点 人群 筛查 中 发现 1 例新冠 病毒 核酸 检测 初筛 阳性 人员 随即 启动 疫情 防控 应急 处置 机制 快速 精准 落实 流调 溯源 检疫 管控 核酸 检测 隔离 诊疗 全 链条 防控 措施 建立 省市 新区 联动机制 3 月 12 日 10 时 前 四轮 核酸 检测 社会 面 第一次 清零 3 月 23 日 24 时 连续 11 天 社会 面 清零 疫情 总体 防 可控 情况 兰州 新区 外防 输入 内防 反弹 总 策略 动态 清零 总方针 动摇 3 月 下旬 加快 企业 生产 居民 生活 商业 恢复 各项 工作 努力 疫情 影响 降到 最低 网页 链接
LpaFl1WzD,#上海就前期核酸安排造成不便向市民道歉#道歉有用的话要警察干嘛啦封了20天才知道核酸安排有问题啊多少病例是做核酸交叉感染的，一直做核酸是想把阴性全部清零吧 ,1,0,1,0,1,上海 前期 核酸 安排 不便 市民 道歉 道歉 有用 警察 干嘛 封 20 天才 核酸 安排 病例 做 核酸 交叉感染 做 核酸 想 阴性 清零  
LrEe2u2vC,【浙江省疫情形势总体平稳，未造成广泛社区传播和外溢】今天下午，浙江举行第一百一十七场新冠肺炎疫情防控工作新闻发布会，通报浙江最新疫情情况。5月5日0—14时，浙江省无新增本土确诊病例。新增本土无症状感染者5例，其中嘉兴市4例、丽水市1例；上述感染者由集中隔离点检测发现4例、居家隔离检测发现1例。自3月3日以来，浙江省本轮疫情累计报告本土确诊病例663例，累计报告本土无症状感染者786例，涉及11个设区市、71个县（市、区），其中杭州390例、嘉兴367例、金华231例、衢州158例、宁波90例、台州56例、温州45例、湖州35例、丽水31例、绍兴23例、舟山23例。这是我省自新冠肺炎疫情防控常态化以来波及范围最广、形势最为复杂的一轮疫情。虽然近期疫情多源多点、散发频发，但经过各地各部门和全社会共同努力，我省疫情形势总体平稳，未造成广泛社区传播和外溢。本轮总计252起疫情中，222起在1天内实现社会面清零，90%以上的疫情在3天内实现社会面清零。倍受关注的杭州拱墅4·19疫情于4月27日也实现社会面清零，目前除少数疫点及周边单元外，市区全域已恢复常态化秩序。丽水云和4·26疫情、嘉兴嘉善5·1疫情、宁波奉化5·1疫情等均在“五一”假期实现社会面清零。但全省疫情防控工作仍面临巨大挑战，丝毫不可有半点松懈麻痹，必须始终坚持“外防输入、内防反弹”总策略和“动态清零”总方针，全面落实和不断完善疫情防控“七大机制”，坚决守住不出现疫情规模性反弹的底线，努力用最小的代价实现最大的防控效果。 FM93浙江交通之声的微博视频,1,1,0,2,1,浙江省 疫情 形势 总体 平稳 未 社区 传播 外溢 今天下午 浙江 一百一十 七场 新冠 肺炎 疫情 防控 工作 新闻 发布会 通报 浙江 最新 疫情 情况 5 月 5 日 0 14 时 浙江省 新增 本土 确诊 病例 新增 本土 无症状 感染者 5 例 嘉兴市 4 例 丽水市 1 例 感染者 隔离 点 检测 发现 4 例 居家 隔离 检测 发现 1 例 3 月 3 日 浙江省 本轮 疫情 累计 报告 本土 确诊 病例 663 例 累计 报告 本土 无症状 感染者 786 例 涉及 11 设区 市 71 县 市 区 杭州 390 例 嘉兴 367 例 金华 231 例 衢州 158 例 宁波 90 例 台州 56 例 温州 45 例 湖州 35 例 丽水 31 例 绍兴 23 例 舟山 23 例 这是 我省 自新冠 肺炎 疫情 防控 常态 化 波及 最广 形势 最为 一轮 疫情 近期 疫情 多源 多点 散发 频发 部门 全 社会 共同努力 我省 疫情 形势 总体 平稳 未 社区 传播 外溢 本轮 总计 252 疫情 中 222 1 天内 社会 面 清零 90% 疫情 3 天内 社会 面 清零 倍受 关注 杭州 拱墅 4 · 19 疫情 4 月 27 日 社会 面 清零 除少数 疫点 周边 单元 外 市区 全域 恢复 常态 化 秩序 丽水 云 4 · 26 疫情 嘉兴 嘉善 5 · 1 疫情 宁波 奉化 5 · 1 疫情 五一 假期 社会 面 清零 全省 疫情 防控 工作 面临 挑战 丝毫 半点 松懈 麻痹 始终 外防 输入 内防 反弹 总 策略 动态 清零 总方针 全面落实 不断完善 疫情 防控 七大 机制 守住 疫情 规模性 反弹 底线 努力 最小 代价 防控 效果   FM93 浙江 交通 之声 微博 视频
Lr0XxpwOS,现行抗疫策略将如何变，委实是个棘手的课题，若生命至上，则无疑还要持续去强化既定政策，且只有愈发严格这一条路可走了，即，加大对疫情区域的封控管制时长，愈长则闷的效果愈好，同步进行的还要有加大核酸检测筛查力度，一轮一轮的筛，直到连续几日的清零结果出来，期间还要对不断发现的密接与次密接族群做高效的隔离观察，能定点就全部转移出去做集中隔离，否则，有任何松懈终将会百密一疏的，但，在目前全局无法同步去做病毒的彻底归零前，仅仅靠各地救火式的封堵扑灭，也恐将极大步入疲于奔命的窘境，归根结底还是这个病毒太过狡诈与善伪装以及其极强的穿透力，使得现行被动式的防控始终处于防不胜防状态，除非把一切社会面的传播途径完全掐断，否则很难做到对病毒真正意义上的阻断，但，这个法子也是完全行不通的，因为那样经济必然首先承受重压，尤其在外部逐步正常化下，这无异于我们主动放弃与外部的经贸联结，自我孤立，这亦不可能的，因这恰是敌对的老美所期盼的结果，由此，又将倒逼我们去谋新的平衡之变。谋事，必要先剖析当前最大的症结在哪里，毫无疑问，其高效的传播力外，病毒的弱毒性也是现有的主要特征之一，即其愈发凸显出对特定人群的穿透力与危害性，且这类族群相对而言在社会中又呈少数化，即多数族群在现有的技术手段下，其耐受力似乎已然可以达到承受住现状主流病毒的冲击，这意味更多人群的防控力是可以降低标准的，基本正常化去工作生活的，当然，这是基于现有数据报告下的结论，未来病毒是否会突变转向更危险亦不得而知，但可以肯定的是，在我们这么大的人口基数面前，若真如外部共存，大多数人也将会有更多感染风险，并因此获得自然免疫力，同时也会促发病毒有更多突变的可能发生，只是这样的突变风险其结果亦无法超前预知，是继续弱毒性化去，还是猛然倍增到最早前甚至是远超最初的水准，总之，皆有可能。毫无疑问，若没有更好的一劳永逸解决办法前，唯有以动态的平衡之法来寻求解决路径了，即如何在顾全大局下，又能平衡的照应到少数族群的需求，那么，如何保障这类备受病毒攻击族群的方法就是解决路径了，无外两个办法，一个把这类族群集中起来，做独立的社区管控，如定点隔离般的把他们包裹保护起来，难点在如何构建这样的大社区，另一个就是把社会需要正常生产经营的方方面面做闭环管控，选择，当然是那种方法成本更低更易操作，可能，这或是当前战时机制下最好的办法吧，根本上，还是以病毒毒性彻底消亡为上。,1,0,0,1,1,现行 抗疫 策略 变 委实 棘手 课题 生命 至上 无疑 持续 强化 既定政策 愈发 一条 路 走 加大 疫情 区域 封控 管制 时 长 愈长 闷 效果 愈 同步进行 加大 核酸 检测 筛查 力度 一轮 一轮 筛 连续 几日 清零 期间 发现 密接 次 密接 族群 做 高效 隔离 观察 定点 转移 做 隔离 松懈 终将 百密一疏 全局 同步 做 病毒 归零 前 救火 式 封堵 扑灭 恐 步入 疲于奔命 窘境 病毒 太过 狡诈 善 伪装 其极强 穿透力 现行 被动式 防控 始终 处于 防不胜防 状态 社会 面 传播 途径 掐断 很难 病毒 意义 阻断 法子 行不通 经济 承受 重压 外部 正常化 无异于 主动 放弃 外部 经贸 联结 自我 孤立 恰是 敌对 老美所 期盼 倒逼 谋 新 平衡 之变 谋事 先 剖析 症结 毫无疑问 高效 传播 力外 病毒 弱 毒性 现有 特征 愈发 凸显出 特定 人群 穿透力 危害性 这类 族群 社会 中 呈 化 族群 现有 技术手段 耐受力 已然 承受 住 现状 主流 病毒 冲击 意味 人群 防控 力是 降低标准 正常化 工作 生活 这是 现有 数据 报告 结论 未来 病毒 突变 转向 危险 不得而知 肯定 人口基数 面前 若真 外部 共存 感染 风险 自然 免疫力 促发 病毒 突变 发生 突变 风险 超前 预知 弱 毒性 化去 倍增 最早 前 远超 最初 水准 皆 毫无疑问 更好 一劳永逸 解决办法 前 动态 平衡 之法来 寻求 解决 路径 顾全大局 平衡 照应 族群 需求 保障 类 备受 病毒 攻击 族群 方法 解决 路径 无外 两个 办法 这类 族群 做 独立 社区 管控 定点 隔离 包裹 保护 难点 构建 社区 社会 生产 经营 方方面面 做 闭环 管控 选择 那种 方法 成本 更低 更易 操作 战时 机制 办法 病毒 毒性 消亡
Lq84qBR7W,昨晚后半夜，几次被暴雨的咆哮声惊醒，感觉就如同唾在虎跳峡边。还听到一串持继时间很长的雷声，心惊肉跳。有间房窗户半开，万雨水飘了进来，大片地板湿透，有些地方还起了皮。今天基本没雨，只是阴，但很潮，打开冰箱，一片白雾。中午问母亲，昨天为什么大半天不说话。母亲说不记得了，又说昨天后来突然说出来了。卫健委的梁专家对媒体说，奥密克戎不是大号流感，病死率0.7%多，是流感的7倍多。这大概是香港的数据，拿来吓唬上官下民，全然没考虑年龄结构，疫苗按种率的影响。大A股和港股再次暴跌，只因为朝阳群众也开始抢购囤货了，因为朝阳群众也怕封城。是哪些利益集团欲置中国经济于死地，替美帝实现对中国崛起的遏制?#暴雨##虎跳峡##股市##卫健委##朝阳群众##囤货##封城么##利益集团##美帝##小镇故事#我们动态清零的目的之一就是要体现对美国的制度优越性。由于超额死亡人数没官方来源，我们不妨认为，只要与新冠相关的死亡人数占总人口的比例（粗死亡率）低于美国，那就证明我们的制度比美国的优越。目前看来，美国的粗死亡率在3‰左右。比内地疫苗接种率低很多的香港，其粗死亡率在1‰多点。参考吉林上海现状，合理推测，内地即使不封城和频繁的核酸检测，粗死亡率将明显低于1‰;如果内地的三针接种率达到新西兰和新加坡（两国刚从清零转共存，粗死亡率0.1‰多点）的水平，并对老年人开放mRNA疫苗接种，粗死亡率降至0.3‰甚至0.1‰之下并非难事，对美国的制度优越性不言自明，且经济受的负面影响也很小，何乐不为。在此呼吁，对老年人和有基础疾病的人开放mRNA疫苗;进入封闭空间的公共场所（飞机，火车，地铁，公交，超市等）须接种了三针疫苗或持48小时内核酸阴性证明，以鼓励打加强针;进入其他公共场所，须接种了至少两针疫苗或持72小时内核酸阴性证明，以鼓励疫苗接种;跨省流动须持48小时内核酸阴性证明，以减少长连接的传染;无症状，轻症，密接和次密接人员可选择居家隔离;取消其他限制。#美国##租死亡率##疫苗##核酸##制度##优越性#,1,0,1,0,1,昨晚 后半夜 几次 暴雨 咆哮声 惊醒 感觉 唾在 虎跳峡 听到 一串 持继 时间 很长 雷声 心惊肉跳 有间 房 窗户 半开 雨水 飘 大片 地板 湿透 地方 皮 没雨 阴 很潮 打开 冰箱 白雾 中午 问 母亲 昨天 大半天 说话 母亲 说 记得 说 昨天 说 卫健委 梁 专家 媒体 说 奥密克戎 号 流感 病死率 0.7% 流感 7 倍 香港 数据 拿来 吓唬 上官 民 年龄结构 疫苗 按种 率 影响 A股 港股 暴跌 朝阳 群众 抢购 囤货 朝阳 群众 封城 利益集团 欲置 中国 经济 死地 替美帝 中国崛起 遏制 暴雨 ## 虎跳峡 ## 股市 ## 卫健委 ## 朝阳 群众 ## 囤货 ## 封城 ## 利益集团 ## 美帝 ## 小镇 故事 动态 清零 目的 体现 美国 制度 优越性 超额 死亡 人数 官方 来源 新冠 相关 死亡 人数 占 总人口 比例 死亡率 低于 美国 证明 制度 美国 优越 美国 死亡率 3 ‰ 内地 疫苗 接种率 低 香港 死亡率 1 ‰ 多点 参考 吉林 上海 现状 推测 内地 不封城 频繁 核酸 检测 死亡率 低于 1 ‰ ; 内地 三针 接种率 新西兰 新加坡 两国刚 清零 转 共存 死亡率 0.1 ‰ 多点 水平 老年人 开放 mRNA 疫苗 接种 死亡率 降至 0.3 ‰ 0.1 ‰ 之下 难事 美国 制度 优越性 不言自明 经济 受 负面影响 很小 何乐不为 呼吁 老年人 基础 疾病 开放 mRNA 疫苗 ; 封闭 空间 公共场所 飞机 火车 地铁 公交 超市 须 接种 三针 疫苗 或持 48 小时 核酸 阴性 证明 鼓励 针 ; 公共场所 须 接种 至少 两针 疫苗 或持 72 小时 核酸 阴性 证明 鼓励 疫苗 接种 ; 跨省 流动 须持 48 小时 核酸 阴性 证明 减少 长 连接 传染 ; 无症状 轻症 密接 次 密接 人员 选择 居家 隔离 ; 取消 美国 ## 租 死亡率 ## 疫苗 ## 核酸 ## 制度 ## 优越性
LCRGFclvW,被封第四天，比较轻松，除了不能出去，基本没事！人在被封的时候，首先想到的就是安全。要考虑民生保障，周边的健康安全！排队核酸检测得站多远？周围哪个小区来车了？家里的可乐还有吗？饿了么不能下单也是醉了！于是打开美团随便点了一个，还必须到门口取！可是你的冰箱里不是有很多囤货吗？但其实你的欲望膨胀的原因是那些冰箱里没有的！奶茶烤串大火锅，日料花甲小龙虾！烧饼夹里脊，牛肉粉丝汤，对美食的渴望，对疫情防控的不明确，没有收入只有支出的担忧，账户余额的日益减少，混合成一种升腾的欲望，要出去，要自由！封闭式管理，静态清零，无非是你被封印的向往！那些曾经近在咫尺的美食，在风控时期都是你心里得不到的欲念！,1,0,0,1,1,封 第四天 轻松 没事 封 想到 民生 保障 周边 健康 排队 核酸 检测 站 远 小区 来车 家里 可乐 饿 下单 醉 打开 美团 随便 点 门口 取 冰箱 里 囤货 欲望 膨胀 原因 冰箱 里 奶茶 烤串 火锅 日料 花甲 小龙虾 烧饼 夹 里脊 牛肉 粉丝汤 美食 渴望 疫情 防控 收入 支出 担忧 账户 余额 日益减少 混合 成 一种 升腾 欲望 自由 封闭式 管理 静态 清零 无非 封印 向往 近在咫尺 美食 风控 时期 得不到 欲念
LzYv7giaD,【#行程卡摘星火车票搜索量飙升#】财联社6月29日电，据工信部网站消息，为坚决落实党中央、国务院关于“外防输入、内防反弹”总策略和“动态清零”总方针，支撑高效统筹疫情防控和经济社会发展，方便广大用户出行，即日起取消通信行程卡“星号”标记。据去哪儿平台数据显示，今天下午3点半，自消息公布半小时后，平台上国际机票瞬时搜索量翻倍，达到近两年以来该平台国际机票搜索量最高峰。同时，平台机票搜索量在30分钟内上升60%，酒店搜索量翻番，火车票搜索量上涨最多达到1.5倍。,1,1,0,2,1,行程 卡 摘星 火车票 搜索 量 飙升 财 联社 6 月 29 日电 工信部 网站 消息 落实 党中央 国务院 外防 输入 内防 反弹 总 策略 动态 清零 总方针 支撑 高效 统筹 疫情 防控 经济社会 发展 用户 出行 即日起 取消 通信 行程 卡 星号 标记 平台 数据 显示 今天下午 3 点半 消息 公布 半小时 平台 国际 机票 瞬时 搜索 量 翻倍 近两年 平台 国际 机票 搜索 量 最高峰 平台 机票 搜索 量 30 分钟 60% 酒店 搜索 量 翻番 火车票 搜索 量 上涨 1.5 倍
LpFj8BJrB,【榆阳区横山区发布关于新冠肺炎疫情防控静态管理实战演练的通告】为全面加强新冠肺炎疫情防控工作，进一步提升疫情应急处置能力，切实保障人民群众生命安全和身体健康，按照区疫情联防联控领导小组统一安排部署，在榆林中心城区榆阳12个街道片区开展新冠肺炎疫情防控静态管理实战演练，现就有关事项通告如下：一、演练时间。2022年4月22日17时起至4月23日20时止。,1,0,0,1,1,榆阳区 横 山区 发布 新冠 肺炎 疫情 防控 静态 管理 实战 演练 通告 新冠 肺炎 疫情 防控 工作 进一步 提升 疫情 应急 处置 能力 切实 保障 人民 群众 生命安全 身体健康 区 疫情 联防 联控 领导小组 统一安排 部署 榆林 中心 城区 榆阳 12 街道 片区 新冠 肺炎 疫情 防控 静态 管理 实战 演练 现 事项 通告 演练 时间 2022 年 4 月 22 日 17 时起 4 月 23 日 20 时止
