bid,微博正文,相关,正面,负面,label1,label0,cut_text
LqhmvkTjZ,一夜之间我的家乡按下了暂停键，突如其来的疫情，连夜全民做核酸，全市静态化管理，为全国喊了无数次加油，这次我们为自己加油，愿疫情早日散去，丹东加油???? dd平凡的人的微博视频 ,1,0,0,1,1,一夜之间 家乡 按下 暂停 键 突如其来 疫情 连夜 全民 做 核酸 全市 静态 化 管理 全国 喊 无数次 加油 加油 愿 疫情 早日 散 丹东 加油   dd 平凡 微博 视频  
LmtpZoJkk,愚人节最大的玩笑：全市中心城区实时静态管理居家办公的意思就是24小时待命三点睡觉六点起还不知道工作到几时附上上午的群聊——因为没回消息被点名和阴阳怪气其实醒了就是单纯的不想理 ,0,0,0,1,0,愚人节 玩笑 全市 中心 城区 实时 静态 管理 居家 办公 24 小时 待命 三点 睡觉 六点 工作 附上 上午 群聊 回 消息 点名 阴阳怪气 醒 不想 理  
Lx5VXr4bz,#唐山 打人#新冠清零做不到，女性清零却好积极呢 ,0,0,0,1,0,唐山   打人 新冠 清零 做 不到 女性 清零  
LplrcohHd,近日，#吉林省# #长春市# 发生了一件惊炸天的事情，一位核酸检测结果为阳性的外卖骑手偷偷送了100多单外卖，足迹遍布朝阳、南关、宽城、二道等多个城区，造成疫情传播重大风险。据悉，该男子违反静态管理规定，并逃避几轮核酸检测，从3月20日到4月16日，多次采取钻栅栏的方式脱离其居住小区，进行外卖配送服务，先后在长春市朝阳、南关、宽城、二道等多个地方，配送物资100余单。另外，该男子任职的某网络科技有限公司管理人员戴某、王某，违反管理规定，对造成疫情严重传播风险负有直接责任。目前，三个人已经被警方立案侦查，并依法采取刑事强制措施。涉及到的居民区正在调查统计当中。现在无法想象这100多单物资的主人是什么心情？这些物资主人的小区邻居知道了以后，又会是什么心情？当然，你们也是无辜的受害者，但是请你们做好消杀防护，暂时离其他人远一点吧！祈祷都能够平安无事，关键时期，大家都配合一下疫情防控工作，大家都不想在到达终点之前，又重新回到了起点。,1,0,0,1,1,近日 吉林省   长春市   发生 一件 惊炸天 事情 一位 核酸 检测 阳性 外卖 骑手 偷偷 送 100 多单 外卖 足迹 遍布 朝阳 南关 宽城 二道 多个 城区 疫情 传播 风险 男子 违反 静态 管理 逃避 几轮 核酸 检测 3 月 20 日到 4 月 16 日 钻 栅栏 方式 脱离 居住小区 外卖 配送 服务 长春市 朝阳 南关 宽城 二道 多个 地方 配送 物资 100 余单 男子 任职 网络科技 有限公司 管理人员 戴 王某 违反 管理 疫情 传播 风险 负有 责任 三个 警方 立案侦查 依法 刑事 强制措施 涉及 居民区 调查 统计 想象 100 多单 物资 主人 心情 物资 主人 小区 邻居 心情 无辜 受害者 请 做好 消杀 防护 暂时 其他人 远 一点 祈祷 平安无事 关键时期 配合 疫情 防控 工作 不想 到达 终点 回到 起点
L9fiH2L33,西安昨天新增确诊90例，今天新增95例，4号清零的目标希望会实现??今早8点防疫人员上门做核酸?政府第二次发的菜今天收到了 ,1,0,0,1,1,西安 昨天 新增 确诊 90 例 新增 95 例 4 号 清零 目标 希望 今早 8 点 防疫 人员 上门 做 核酸 政府 第二次 发 菜 收到  
LtJJfinGB,和猫咪全城静态管理的一天。#长毛猫#宠物#猫咪# 捌百是猫咪的微博视频 ,0,0,0,1,0,猫咪 全城 静态 管理 长毛 猫 宠物 猫咪   捌 百是 猫咪 微博 视频  
Lo7X1cppl,#疫情阻击动态#【#吉林长春又有多区基本实现社会面清零#】4月12日，吉林省长春市召开疫情防控工作新闻发布会，4月10日12时—4月11日12时，长春市完成新一轮核酸检测。按照国家疫情防控有关规定，经长春市疫情防控指挥部研究判定，长春净月高新技术产业开发区、长春新区、长春经济技术开发区、二道区基本实现了社会面动态清零。（光明日报全媒体记者任爽）,1,0,0,1,1,疫情 阻击 动态 吉林长春 多区 社会 面 清零 4 月 12 日 吉林省 长春市 疫情 防控 工作 新闻 发布会 4 月 10 日 12 时 4 月 11 日 12 时 长春市 新一轮 核酸 检测 国家 疫情 防控 长春市 疫情 防控 指挥部 研究 判定 长春 净 月 高新技术 产业 开发区 长春 新区 长春 经济 技术开发区 二道区 社会 面 动态 清零 光明日报 全 媒体 记者 任爽
Lrcee1FHI,#hi五月# 封控一个月了希望疫情早日清零 ,1,0,0,1,1,hi 五月   封控 一个月 希望 疫情 早日 清零  
LoSeTyfBU,#上海现有重型病例16例仅有一例全程接种疫苗#提高疫苗接种率才是王道，但现在这种情况，全部医疗资源都投入到全员核酸当中，你告诉我谁来接种疫苗？有人力物力去做全员核酸，不如全员疫苗。可以参考防疫成功的国家，例如新加坡和瑞典，70岁以上老人疫苗接种率在90%以上。不要再搞绝对躺平和绝对清零的二元论了，明明有科学躺平和科学清零的中间地带，作业为什么不抄？ 上海,1,0,1,0,1,上海 现有 重型 病例 16 例仅 一例 全程 接种 疫苗 提高 疫苗 接种率 王道 情况 医疗 资源 投入 全员 核酸 告诉 接种 疫苗 人力物力 做 全员 核酸 全员 疫苗 参考 防疫 成功 国家 新加坡 瑞典 70 岁 老人 疫苗 接种率 90% 搞 躺 平和 清零 二元论 明明 科学 躺 平和 科学 清零 地带 作业 不抄   上海
Lk8UrmHtm,3月17日，西安开始新一轮核酸筛查工作，西安新晋网红贴纸——“清零四宝”最后一位朱鹮准时上线，一大早市民纷纷晒出#西安市民集齐秦岭四宝核酸贴纸#合照，你集齐了吗？@白鹿视频  白鹿视频的微博视频  ,1,0,0,1,1,3 月 17 日 西安 新一轮 核酸 筛查 工作 西安 新晋 网红 贴纸 清零 四宝 一位 朱鹮 准时 上线 一大早 市民 纷纷 晒出 西安 市民 集齐 秦岭 四宝 核酸 贴纸 合照 集齐 @ 白鹿 视频     白鹿 视频 微博 视频    
LsZlNutgB,#战机飞行员视角的祖国有多美# 全域静态管理，美的见不着人。 ,1,0,1,0,1,战机 飞行员 视角 祖国 有多美   全域 静态 管理 美的 见不着  
Lu3WIgdjj,#共同战疫#【北京疾控：当前本市疫情仍处于胶着状态，疫情防控形势严峻复杂】在今天下午举行的#北京市疫情发布会#上，北京市疾病预防控制中心副主任刘晓峰介绍，当前本市疫情仍处于胶着状态，疫情防控形势严峻复杂。要坚定必胜信心，尽快实现动态清零目标，以更快速、更果断、更坚决的措施，守住每一道防线、消除每一处隐患，切实阻断疫情传播链条。  各区、单位、部门、行业要严格落实“四方责任”，履行主体责任，继续深挖细排所辖区域与岳各庄市场等疫情相关风险人员，严格落位管控；实施居家办公和点对点闭环管理的区域，加强人员管理，严控到岗率，切实做好健康监测、核酸检测、查验证明等各项防控措施；严格社区（村）人员管理，落实测温、扫码、查验48小时内核酸检测阴性证明等防疫措施。  请与官方公布的病例活动轨迹及岳各庄市场、新发地市场风险点位有时空交集人员、接到健康宝弹窗提示人员立即向社区报告，配合各项防控措施。请广大市民朋友继续加强防控意识，非必要不流动，非必要不外出，进入公共场所要坚持全员扫码登记、科学佩戴口罩、勤洗手、常通风、不聚集、保持安全社交距离等常态化防控措施。（北京发布）,1,0,0,1,1,战疫 北京 疾控 本市 疫情 处于 胶着状态 疫情 防控 形势严峻 今天下午 北京市 疫情 发布会 北京市 疾病 预防 控制中心 副 主任 刘晓峰 介绍 本市 疫情 处于 胶着状态 疫情 防控 形势严峻 坚定 必胜信心 动态 清零 目标 快速 果断 措施 守住 一道 防线 消除 每一处 隐患 切实 阻断 疫情 传播 链条     各区 单位 部门 行业 落实 四方 责任 履行 主体 责任 深挖 细排 辖 区域 岳 各庄 市场 疫情 相关 风险 人员 落位 管控 实施 居家 办公 点对点 闭环 管理 区域 人员 管理 严控 到岗率 切实做好 健康 监测 核酸 检测 查验 证明 各项 防控 措施 社区 村 人员 管理 落实 测温 扫码 查验 48 小时 核酸 检测 阴性 证明 防疫 措施     请 官方 公布 病例 活动 轨迹 及岳 各庄 市场 新 发地 市场 风险 点位 时空 交集 人员 接到 健康 宝 弹窗 提示 人员 社区 报告 配合 各项 防控 措施 请 市民 朋友 继续加强 防控 意识 非必要 流动 非必要 外出 公共场所 全员 扫码 登记 科学 佩戴 口罩 勤洗手 通风 聚集 社交 距离 常态 化 防控 措施 北京 发布
LmDlFmhKs,真的很难理解，对未来没有发生的假设中的次生灾害各种恐惧，不做评估任意夸大，对动态清零政策当下正在发生的次生灾害却熟视无睹，坐视不理，这就是目前中国在位的一流的流行病学科学家？？？？ ,1,0,1,0,1,真的 很难 理解 未来 发生 假设 中 次生 灾害 恐惧 做 评估 任意 夸大 动态 清零 政策 发生 次生 灾害 熟视无睹 坐视不理 中国 在位 一流 流行病学 科学家  
LnNTxgNGV,12、动态清零的重要目标之一，是防止医疗挤兑，因此杜绝任何新冠患者独占医疗资源（宁愿空置浪费）的行为，必须让其它危重急症的普通患者得到及时治疗。防疫是为了救人，而不是产生次生伤害。上海防疫，背后的国本之争 ,1,0,0,1,1,12 动态 清零 目标 医疗 挤兑 杜绝 新冠 患者 独占 医疗 资源 空置 浪费 危重 急症 患者 治疗 防疫 救人 次生 伤害 上海 防疫 背后 国本 之争  
LnvA7kq56,【#非必要不来邯返邯#，邯郸市交通运输局致邯郸市民一封信】为全面阻断新冠肺炎病毒传播风险，全力做好新冠肺炎疫情防控工作，经邯郸市疫情防控工作领导小组分析研判，决定对邯郸市主城区（环城高速公路以内）及周边实行封控管理，开展全员核酸检测。为确保您和家人以及全市人民的健康安全，在此提示大家：一、非必要不来邯、不返邯。为避免旅途中的感染风险，保护您和家人的健康，请暂时取消返邯计划，留在当地做好个人防护。如果您的亲朋好友近日有来邯、返邯计划，请及时告知当前我市疫情管控政策和措施，耐心做好思想工作，劝其克服困难，暂缓来邯、返邯。二、封控区域。丛台区、复兴区、邯山区、经济技术开发区所有区域。三、封控时间。2022年4月8日0时起实行封控，暂定3天，解除封控时间另行通知。四、交通管控措施。封控期间，封控区域将保持静默状态，做到外不进、里不出、内不动。（一）邯郸市主城区公交线路、客运班线、出租客运全部暂停运营。邯郸汽车客运总站、邯郸客运中心站暂时闭站停运，邯郸机场近日航班全部取消，邯郸火车站和邯郸高铁东站暂停旅客进出站。（二）封控期间，邯郸市丛台区、邯山区、复兴区、邯郸经济技术开发区四区全域范围实施交通管控，过境车辆一律绕行。封控期间，绕行路线如下：东来车辆绕行路线：东来车辆通过青兰高速、邯郸绕城高速、京港澳高速绕行。西来车辆绕行路线：西来车辆通过青兰高速、邯郸绕城高速、京港澳高速绕行。南来车辆绕行路线：南来车辆通过京港澳高速、邯郸绕城高速、青兰高速绕行。北来车辆绕行路线：北来车辆通过京港澳高速、邯郸绕城高速、青兰高速绕行。再次提醒，为了您和家人以及全市人民的健康安全，最大限度降低新冠肺炎病毒传播风险，请非必要不来邯、不返邯！由此给您带来不便敬请谅解！衷心感谢您的理解、支持与配合！让我们众志成城，携手同心，共克时艰，共同打赢这场疫情防控的人民战争！,1,0,0,1,1,非必要 不来 邯返 邯 邯郸市 交通运输 局致 邯郸 市民 一封信 阻断 新冠 肺炎 病毒传播 风险 做好 新冠 肺炎 疫情 防控 工作 邯郸市 疫情 防控 工作 领导小组 分析 研判 邯郸市 主城区 环城 高速公路 以内 周边 实行 封控 管理 全员 核酸 检测 确保您 家人 全市 人民 健康 提示 非必要 不来 邯 不返 邯 旅途 中 感染 风险 保护 家人 健康 请 暂时 取消 返 邯 计划 留在 做好 防护 亲朋好友 近日 有来 邯 返 邯 计划 请 告知 我市 疫情 管控 政策 措施 耐心 做好 思想 工作 劝 克服困难 暂缓 邯 返 邯 二 封控 区域 丛台区 复兴区 邯山区 经济 技术开发区 区域 三 封控 时间 2022 年 4 月 8 日 0 时起 实行 封控 暂定 3 天 解除 封控 时间 另行通知 四 交通 管控 措施 封控 期间 封控 区域 静默 状态 外不进 里 不出 内不动 邯郸市 主城区 公交线路 客运 班线 出租 客运 暂停 运营 邯郸 汽车 客运 总站 邯郸 客运 中心站 暂时 闭站 停运 邯郸 机场 近日 航班 取消 邯郸 火车站 邯郸 高铁 东站 暂停 旅客 进出 站 二 封控 期间 邯郸市 丛台区 邯山区 复兴区 邯郸 经济 技术开发区 四区 全域 实施 交通 管控 过境 车辆 一律 绕行 封控 期间 绕行 路线 东来 车辆 绕行 路线 东来 车辆 青兰 高速 邯郸 绕城 高速 京 港澳 高速 绕行 西 车辆 绕行 路线 西 车辆 青兰 高速 邯郸 绕城 高速 京 港澳 高速 绕行 南 车辆 绕行 路线 南 车辆 京 港澳 高速 邯郸 绕城 高速 青兰 高速 绕行 北 车辆 绕行 路线 北 车辆 京 港澳 高速 邯郸 绕城 高速 青兰 高速 绕行 提醒 家人 全市 人民 健康 限度 降低 新冠 肺炎 病毒传播 风险 请 非必要 不来 邯 不返 邯 带来 不便 敬请 谅解 衷心感谢 理解 支持 配合 众志成城 携手同心 共克 时艰 打赢 这场 疫情 防控 人民战争
