bid,微博正文,相关,正面,负面
L9uej7J7J,居家抗疫第十五天。补记。昨天是元月五日，在家已经15天了，今天官方传来好消息，新增病例35例，明显低于昨日，而且均发生在隔离人群中，就是说社会面基本清零，达到了省委书记的要求。但是距离生活正常还有一段时间。今天小区来了爱心蔬菜大篷车，直接开进小区，方便业主买菜，而且小区里也设置了一个简易售卖生活物资的临时点，保障居民生活。在经历了疫情防控前期的茫然，混乱之后，满满的，治理，服务都跟上了。这是需要代价的。雁塔区一二把手被免职，大数据局局长被免职，我估计还会有政府官员为疫情防控不力买单。昨日网上报道一名产妇因为核酸检测超时四个小时而被高新医院拒之门外，最终这位产妇大出血流产，八个月的孩子说没就没了，网上一片哗然，一边倒指责医院，指责政府。的确，医院不能因为疫情防控而漠视个体生命。医院本身就是救死扶伤的地方，出现这样的事情，说不过去。今天我看网上报道处理了一批人，医院总经理，医院相关负责人，西安市卫健委主任也被警告处分了。我觉得这样处分都不过，不管啥时候，每个生命都应该被尊重。愿西安的生活早日恢复正常。 西安·中海?碧林湾,1,0,0
L9nXIuPPC,原创诗文：新冠动态清零新冠动态清零小虫肆虐有经年，遇到金刚躲西边。民生民权需护法，方能国泰民更安。于2022年1月4日晚（吴国良） 赤峰·新林花园 ,1,0,0
L9fiH2L33,西安昨天新增确诊90例，今天新增95例，4号清零的目标希望会实现??今早8点防疫人员上门做核酸?政府第二次发的菜今天收到了 ,1,0,0
LEx6s02Gk,收评：今日行情冲高回落，沪指在3300点遇阻，尾盘前跌破3250点支撑，短期看震荡回落的概率大；行业板块方面，农林牧渔、汽车、矿物制品、通用机械、电力等板块领涨，酒店餐饮、旅游、煤炭、医药、半导体等板块跌幅较大；成交量再破万亿，北向资金净流出171.9亿，港股大跌超过2.5%，给了A股很大压力；高层定调下半年经济走向，财政政策和货币政策很难超预期，疫情管控还是动态清零，对于经济增长偏利空，下半年的机会不容易把握，重点关注农林牧渔板块，种业板块机会最明显。,0,0,0
LCRGFclvW,被封第四天，比较轻松，除了不能出去，基本没事！人在被封的时候，首先想到的就是安全。要考虑民生保障，周边的健康安全！排队核酸检测得站多远？周围哪个小区来车了？家里的可乐还有吗？饿了么不能下单也是醉了！于是打开美团随便点了一个，还必须到门口取！可是你的冰箱里不是有很多囤货吗？但其实你的欲望膨胀的原因是那些冰箱里没有的！奶茶烤串大火锅，日料花甲小龙虾！烧饼夹里脊，牛肉粉丝汤，对美食的渴望，对疫情防控的不明确，没有收入只有支出的担忧，账户余额的日益减少，混合成一种升腾的欲望，要出去，要自由！封闭式管理，静态清零，无非是你被封印的向往！那些曾经近在咫尺的美食，在风控时期都是你心里得不到的欲念！,1,0,0
LzYv7giaD,【#行程卡摘星火车票搜索量飙升#】财联社6月29日电，据工信部网站消息，为坚决落实党中央、国务院关于“外防输入、内防反弹”总策略和“动态清零”总方针，支撑高效统筹疫情防控和经济社会发展，方便广大用户出行，即日起取消通信行程卡“星号”标记。据去哪儿平台数据显示，今天下午3点半，自消息公布半小时后，平台上国际机票瞬时搜索量翻倍，达到近两年以来该平台国际机票搜索量最高峰。同时，平台机票搜索量在30分钟内上升60%，酒店搜索量翻番，火车票搜索量上涨最多达到1.5倍。,1,1,0
Lx5VXr4bz,#唐山 打人#新冠清零做不到，女性清零却好积极呢 ,0,0,0
Lwvfzs5xR,【#兰州市新增8处收费道路停车泊位# 】为全面推进我市停车设施建设管理“一难两乱”专项整治工作有序开展，有效整治道路停车乱象，着力缓解主城区停车难问题，兰州市公安局交警支队根据道路实际通行情况和群众停车需求，将七里河区上西园路，城关区B422号路，安宁区通达街、街坊路、孔家崖路等8条路段设置为道路公共停车泊位，纳入收费管理，进一步提升静态交通管理质效。via.@兰州发布 寻美中国#寻美中国2022甘肃再出发#,0,0,0
LvSOrqJY8,　　“动态清零”是上海抗疫最佳方案，“当前，上海的疫情形势比较严峻、复杂，坚定执行‘动态清零’是最佳选择，也是最佳方案。”4月10日，国家卫健委疫情应对处置工作领导小组专家组组长、清华大学万科公共卫生与健康学院常务副院长梁万年说。上海市本轮疫情有何特点？防控的难点在哪儿？实行“动态清零”有何意义？记者在上海采访了梁万年。　　采取更果断坚定的防控措施　　“上海本轮疫情流行的毒株主要是奥密克戎BA.2，传播速度非常快，隐匿性特别强，也就是无症状感染者和轻症病例占比非常高，大大增加了疫情防控的难度。”梁万年说，目前上海市的16个区大部分社区都有感染者，存在着广泛的社区传播。所以，单独依靠过去的疫情防控措施，很难快速控制住疫情。因此，必须要采取更果断坚定的措施。　　上海市是2500万人口的国际化大都市，国内、国际交往极为频繁。“上海既要防止市内疫情扩散，又要防止外溢到其他省份，还要防止境外输入，防控压力很大。”梁万年认为，当前，上海市疫情防控最重要的是防止市内扩散和反弹。对这么大一个城市进行疫情防控，无论采取什么措施，比如全员核酸检测，对于城市的组织能力、管理能力等都是巨大的考验。　　“统一思想，坚定信心，团结起来才能战胜来势凶猛的疫情。”梁万年说，上海市从基层群众到基层组织，再到区级和市级政府，必须形成一个有效的系统，共同防控疫情。　　“在保护人民的生命和健康免受病毒侵害的同时，要保障群众的基本生产和生活。”梁万年认为，平衡疫情防控和群众基本生活及经济社会发展，是上海这样的大城市面临的重要课题。所以，疫情防控必须更快速、更精准、更有效。　　上海市的疫情防控策略和措施正在发挥作用。梁万年分析，虽然上海市报告的感染者数量处于高位震荡，但按照奥密克戎变异毒株流行的指数型增长的参数来看，没有出现指数型上升态势，表明采取的防控措施遏制住了指数型上升的势头。“上海疫情处在关键时期和胶着状态，不进则退。要牢牢抓住这个时间窗口，大家一起努力，共同战胜疫情。”　　把生命和健康放在第一位　　奥密克戎变异株不是“大号流感”，危害性比流感大很多。梁万年认为，与流感相比，奥密克戎变异株传播速度更快，传播的隐匿性更强，更容易造成大范围的传播。更重要的是，奥密克戎变异株致病性明显比流感大。从全球看，如果放任病毒流行，奥密克戎变异株总体病死率比流感要高，特别是老年人群，病死率比普通流感高出几十倍，80岁以上老年人甚至高出近百倍。　　“从公共卫生的角度看，全人群都是奥密克戎变异株的易感人群。我国老年人口数量庞大，一些大城市人口老年化率较高。如果‘躺平’，疫情对这类脆弱人群就是一场灾难。”梁万年说，奥密克戎变异株还会不断变异，如果向坏的方向变异，对人类健康危害就会更大。此外，如果出现大规模感染，人们会出现恐慌，造成医疗资源挤兑，让正常的就医需求无法得到保证。所以，我国对奥密克戎变异株采取“动态清零”的总方针是科学、有效的。　　梁万年说，应对奥密克戎变异株，一些国家采取“躺平”策略，放任病毒感染，对居民的生命、健康和社会生产造成了巨大危害。我国坚持“动态清零”，一方面是“人民至上、生命至上”防疫理念的指导；另一方面，我国有能力、有基础。我国本土总体上“干净”，社会主义制度具有强大的组织动员能力，群众积极主动配合，加上丰富的抗疫经验和各种科学工具，有能力实现“动态清零”。　　梁万年认为，我国坚持“动态清零”，是尽一切努力来维护人民身体健康和生命安全，同时尽一切可能有效精准平衡疫情防控和正常生产生活及经济社会发展。为了实现“动态清零”，对一部分群众进行管控，对他们的生产生活带来不便，但只要快速控制住疫情，可以换取更长时间的正常生产生活和更大范围甚至全国的正常生产生活。“要坚持‘动态清零’总方针不动摇，以最小的成本获取最大的效益。”　　“动态清零”的精髓是快速、精准　　“动态清零”并不是零容忍、追求完全零感染。梁万年说，“动态清零”是我国抗击疫情的总方针，也是2020年以来我国经历前后几十起各类新冠病毒变异株引起的聚集性疫情，总结出的一套战略性打法。实践反复证明，“动态清零”符合我国实际，也是抗击疫情的最佳选择。“动态清零”的核心内涵是出现疫情后，能够快速发现它，并快速围堵它，切断传播过程，实现发现一起，扑灭一起，不造成持续性社区传播，其精髓就是快速、精准，跑在病毒传播的前面。　　上海具备“动态清零”的能力。梁万年分析，只要把传染源控制住，切断传播途径，保护易感人群，就可以实现“动态清零”。如今，我们有核酸检测和抗原自测技术，抗疫的武器更为强大，能尽早将感染者识别出来。上海有丰富的医疗资源，加上全国各地的支援，能够做到对感染者和可能的感染者进行有效收治和隔离。此外，随着疫苗接种不断推进，易感人群将得到进一步保护。　　上海疫情什么时候出现社会面“动态清零”？梁万年认为，这基于防控措施的进一步落实落地。目前，全市在对居民进行多轮核酸检测筛查，目的就是把传染源都找出来，并做好隔离和救治，管理好密切接触者，切断传播途径。当所有传染源都做好了隔离和救治，新增的感染者都来自监测人员，就实现了社会面“动态清零”。　　“上海人民对抗疫措施的高度支持，让我们感动。”梁万年说，在上海的几天调研中，无论是封控、管控，还是核酸检测、抗原检测，群众都积极配合，给他留下了深刻印象。梁万年表示，上海市民一定要坚定信心，不要恐慌，也不要焦虑，要理解和相信党和政府的抗疫策略和方式。大家要注意防护，保护好自己的身体健康，饮食和睡眠要规律。如果今后按照防范区、管控区、封控区进行分类管理，防范区14天没有阳性感染者，居民可以有一定的活动范围，但要减少不必要的聚集，同时做好个人防护。“大家再坚持一段时间，相信曙光很快会出现。”梁万年说。,1,1,0
LvIGoBHEh,实客观来说，过去两年，上海的精准防控模式，跟其他省市并没有太大的本质区别，只不过上海的精准防控做得更精准、更有效，对民众生活影响更低，但归根结底还是实现了动态清零，最终控制住了疫情。包括上海的精准防控，其实关键就是流调做得更好，有多达2000人的高素质专业流调团队。其他省市也有流调，只是规模没这么大而已，并没有太本质区别。但是，这一轮上海疫情开始大规模爆发后，上海的防控模式还是暴露出很多问题，出现不少混乱的现象，这个网络上有很多人在说。我就说说我认为一个很关键的特殊之处，直到现在仍然存在的问题。很多人并不知道，其实上海都已经到了这样需要把整个浦东封控的状态，但实际上，上海目前还没有一个地区是高风险地区。截止3月28日，上海只有15个中风险地区，一个高风险地区都没有。,1,0,0
